Neighborhood,City,State,Latitude,Longitude
Arts District,Richmond,VA,37.543453,-77.438963
Biotech and MCV,Richmond,VA,37.5434554,-77.430753
City Center,Richmond,VA,37.542916299999995,-77.4379257
Court End,Richmond,VA,37.5441544,-77.43209569999998
Gambles Hill,Richmond,VA,37.537863,-77.44581509999998
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998
Midtown,Richmond,VA,37.5616852,-77.47031070000001
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998
Upper Shockoe Valley,Richmond,VA,37.543570200000005,-77.4257319
Brauers,Richmond,VA,37.546845399999995,-77.41353670000001
Chimborazo,Richmond,VA,37.528287299999995,-77.40564509999999
Church Hill,Richmond,VA,37.532839700000004,-77.4162523
Creighton,Richmond,VA,37.5451415,-77.39775290000001
Eastview,Richmond,VA,37.5498917,-77.4113845
Fairfield,Richmond,VA,37.5496956,-77.40349270000002
Fairmount,Richmond,VA,37.5415995,-77.41353670000001
Fulton Hill,Richmond,VA,37.515706099999996,-77.39847040000001
Montrose Heights,Richmond,VA,37.5218006,-77.39416539999998
Mosby,Richmond,VA,37.5463076,-77.4207105
Navy Hill,Richmond,VA,37.54655109999999,-77.432637
Oakwood,Richmond,VA,37.532914500000004,-77.3999054
Peter Paul,Richmond,VA,37.54491470000001,-77.40779739999998
Tobacco Row,Richmond,VA,37.528810799999995,-77.42227969999998
Union Hill,Richmond,VA,37.5377053,-77.4199931
Witcomb Court,Richmond,VA,37.55593289999999,-77.41850199999998
Barton Heights,Richmond,VA,37.5599252,-77.4314703
Bellevue,Richmond,VA,37.5908319,-77.45755390000001
Chamberlayne Industrial Center,Richmond,VA,37.5593799,-77.4425219
Edgewood,Richmond,VA,37.5806331,-77.43505669999998
Gilpin,Richmond,VA,37.552366299999996,-77.43433940000001
Ginter Park,Richmond,VA,37.583603499999995,-77.4443807
Green Park,Richmond,VA,37.5689085,-77.42357990000001
Hermitage Road,Richmond,VA,37.5782127,-77.4616853
Highland Park,Richmond,VA,37.5741117,-77.41712369999998
Highland Terrace,Richmond,VA,37.57210870000001,-77.4228625
Laburnum Park,Richmond,VA,37.5810596,-77.45728969999998
Magnolia Industrial Center,Richmond,VA,37.5614245,-77.4149715
North Highland Park,Richmond,VA,37.5741117,-77.41712369999998
Pine Camp,Richmond,VA,37.5987539,-77.44509790000001
Providence Park,Richmond,VA,37.5776619,-77.4257319
Rosedale,Richmond,VA,37.5846064,-77.4658948
Sherwood Park,Richmond,VA,37.575507200000004,-77.45442109999998
South Barton Heights,Richmond,VA,37.5599252,-77.4314703
Three Corners,Richmond,VA,37.5358745,-77.4356571
Washington Park,Richmond,VA,37.5896941,-77.44007739999998
Ancarrow's Landing,Richmond,VA,37.5189793,-77.42075229999998
Bellemeade,Richmond,VA,37.4990417,-77.43864289999998
Belmont Woods,Richmond,VA,37.467281899999996,-77.49744160000002
Blackwell,Richmond,VA,37.516563899999994,-77.4429463
Brandermill,Richmond,VA,37.432093200000004,-77.64971390000001
Broad Rock,Richmond,VA,37.4704256,-77.4830405
Brookbury,Richmond,VA,37.464036799999995,-77.49137429999998
Cherry Gardens,Richmond,VA,37.4820919,-77.4591507
Chippenham Forest,Richmond,VA,37.531955200000006,-77.53757940000001
Cofer,Richmond,VA,37.4971094,-77.45728969999998
Cottrell Farms,Richmond,VA,37.4665979,-77.47880140000001
Forest Hill,Richmond,VA,37.525510499999996,-77.47736739999998
Gravel Hill,Richmond,VA,37.536535799999996,-77.514708
Hickory Hill,Richmond,VA,37.4828974,-77.4716313
Hillside Court,Richmond,VA,37.5017822,-77.4336221
Huguenot,Richmond,VA,37.545874100000006,-77.5820012
Jahnke,Richmond,VA,37.51815429999999,-77.5189458
Manchester,Richmond,VA,37.5209801,-77.44414990000001
Maury,Richmond,VA,37.500276,-77.45011819999998
McGuire,Richmond,VA,37.49895720000001,-77.47449940000001
North Chesterfield,Richmond,VA,37.458993,-77.468513
Northrop,Richmond,VA,37.5134297,-77.47664809999998
